time,ir,red,green,gyro,spo2,hr,temp
16:41:57:784,110146,99606,8326,1,0,0,0
16:41:57:804,110284,99633,8344,1,0,0,0
16:41:57:824,110389,99681,8352,1,0,0,0
16:41:57:844,110403,99683,8347,1,0,0,0
16:41:57:864,110501,99709,8359,1,0,0,0
16:41:57:884,110548,99737,8351,1,0,0,0
16:41:57:904,110663,99745,8377,1,0,0,0
16:41:57:924,110773,99788,8371,1,0,0,0
16:41:57:944,110795,99807,8367,1,0,0,0
16:41:57:964,110810,99792,8385,1,0,0,0
16:41:57:984,110775,99792,8357,1,0,0,0
16:41:58:004,110793,99771,8386,1,0,0,0
16:41:58:024,110772,99782,8374,1,0,0,0
16:41:58:044,110781,99779,8370,1,0,0,0
16:41:58:064,110852,99785,8379,1,0,0,0
16:41:58:084,110862,99801,8369,1,0,0,0
16:41:58:104,110906,99796,8394,1,0,0,0
16:41:58:124,110955,99817,8389,1,0,0,0
16:41:58:144,110950,99806,8395,1,0,0,0
16:41:58:164,111003,99838,8401,1,0,0,0
16:41:58:184,111010,99820,8384,1,0,0,0
16:41:58:204,111054,99827,8406,1,0,0,0
16:41:58:224,111063,99849,8396,1,0,0,0
16:41:58:244,111084,99837,8410,1,0,0,0
16:41:58:264,111117,99857,8409,1,0,0,0
16:41:58:284,111108,99848,8404,1,0,0,0
16:41:58:304,111146,99854,8419,1,0,0,0
16:41:58:324,111156,99860,8404,1,0,0,0
16:41:58:344,111187,99859,8424,1,0,0,0
16:41:58:364,111240,99878,8421,1,0,0,0
16:41:58:384,111214,99880,8400,1,0,0,0
16:41:58:404,111273,99884,8428,1,0,0,0
16:41:58:424,111247,99895,8404,1,0,0,0
16:41:58:444,111241,99870,8429,1,0,0,0
16:41:58:464,111201,99867,8422,1,0,0,0
16:41:58:484,110973,99796,8423,1,0,0,0
16:41:58:504,110718,99722,8403,1,0,0,0
16:41:58:524,110370,99631,8364,1,0,0,0
16:41:58:544,110148,99552,8380,1,0,0,0
16:41:58:564,110133,99555,8355,1,0,0,0
16:41:58:584,110227,99608,8376,1,0,0,0
16:41:58:604,110383,99637,8377,1,0,0,0
16:41:58:624,110454,99647,8373,1,0,0,0
16:41:58:644,110511,99666,8401,1,0,0,0
16:41:58:664,110546,99681,8383,1,0,0,0
16:41:58:684,110592,99676,8400,1,0,0,0
16:41:58:704,110677,99716,8404,1,0,0,0
16:41:58:724,110753,99724,8408,1,0,0,0
16:41:58:744,110831,99750,8420,1,0,0,0
16:41:58:764,110832,99766,8400,1,0,0,0
16:41:58:784,110845,99742,8423,1,0,0,0
16:41:58:804,110801,99761,8416,1,0,0,0
16:41:58:824,110795,99726,8411,1,0,0,0
16:41:58:844,110821,99738,8423,1,0,0,0
16:41:58:864,110824,99744,8401,1,0,0,0
16:41:58:884,110837,99737,8427,1,0,0,0
16:41:58:904,110901,99772,8411,1,0,0,0
16:41:58:924,110949,99759,8431,1,0,0,0
16:41:58:944,110969,99780,8428,1,0,0,0
16:41:58:964,110957,99763,8414,1,0,0,0
16:41:58:984,110977,99759,8447,1,0,0,0
16:41:59:004,111003,99772,8427,1,0,0,0
16:41:59:024,111056,99769,8424,1,0,0,0
16:41:59:044,111079,99778,8451,1,100,44,0
16:42:03:638,111080,99784,8434,1,0,0,0
16:42:03:658,111105,99769,8461,1,0,0,0
16:42:03:678,111149,99798,8447,1,0,0,0
16:42:03:698,111152,99796,8438,1,0,0,0
16:42:03:718,111201,99811,8457,1,0,0,0
16:42:03:738,111198,99804,8438,1,0,0,0
