time,ir,red,hr,spo2,temp
162631083,9485,4337,null,0,0
162631104,9464,4321,null,0,0
162631123,9484,4404,null,0,0
162631144,9510,4341,null,0,0
162631162,9481,4320,null,0,0
162631200,9503,4426,null,0,0
162631221,9595,4428,null,0,0
162631240,9528,4362,null,0,0
162631261,9502,4444,null,0,0
162631280,9581,4369,null,0,0
162631318,9482,4323,null,0,0
162631337,9441,4318,null,0,0
162631357,9384,4279,null,0,0
162631376,9372,4355,null,0,0
162631396,9475,4319,null,0,0
162631434,9393,4281,null,0,0
162631454,9373,4359,null,0,0
162631480,9452,4321,null,0,0
162631509,9387,4275,null,0,0
162631565,9409,4378,null,0,0
162631586,9469,4334,null,0,0
162631605,9408,4281,null,0,0
162631626,9377,4356,null,0,0
162631644,9493,4370,null,0,0
162631683,9449,4323,null,0,0
162631702,9430,4372,null,0,0
162631722,9412,4405,null,0,0
162631741,9358,4312,null,0,0
162631762,9328,4259,null,0,0
162631800,9501,4367,null,0,0
162631819,9405,4333,null,0,0
162631840,9361,4256,null,0,0
162631858,9462,4379,null,0,0
162631879,9427,4333,null,0,0
162631916,9445,4382,null,0,0
162631935,9434,4346,null,0,0
162631956,9389,4278,null,0,0
162631974,9336,4370,null,0,0
162631996,9431,4394,null,0,0
162632033,9415,4323,null,0,0
162632053,9376,4358,null,0,0
162632072,9427,4383,null,0,0
162632093,9409,4340,null,0,0
162632112,9347,4310,null,0,0
162632150,9426,4379,null,0,0
162632171,9428,4342,null,0,0
162632191,9356,4366,null,0,0
162632212,9439,4391,null,0,0
162632230,9332,4316,null,0,0
162632269,9426,4402,null,0,0
162632291,9428,4359,null,0,0
162632309,9370,4296,null,0,0
162632338,9262,4375,null,0,0
162632403,9410,4389,null,0,0
162632423,9426,4371,null,0,0
162632444,9338,4341,null,0,0
162632462,9411,4388,null,0,0
162632501,9430,4361,null,0,0
162632523,9288,4344,null,0,0
162632541,9389,4377,null,0,0
162632560,9409,4346,null,0,0
162632581,9318,4344,null,0,0
162632619,9397,4387,null,0,0
162632638,9432,4359,null,0,0
162632659,9318,4297,null,0,0
162632678,9301,4335,null,0,0
162632699,9396,4392,null,0,0
162632738,9310,4264,null,0,0
162632757,9260,4307,null,0,0
162632778,9290,4221,null,0,0
162632796,9306,4304,null,0,0
162632817,9400,4385,null,0,0
162632856,9322,4269,null,0,0
162632875,9298,4311,null,0,0
162632895,9387,4386,null,0,0
162632914,9351,4265,null,0,0
162632933,9343,4309,null,0,0
162632970,9360,4274,null,0,0
162632992,9326,4260,null,0,0
162633010,9339,4254,null,0,0
162633031,9274,4289,null,0,0
162633050,9315,4252,null,0,0
162633089,9275,4265,null,0,0
162633110,9374,4367,null,0,0
162633129,9392,4288,null,0,0
162633152,9356,4313,null,0,0
162633219,9541,4423,null,0,0
162633238,9528,4351,null,0,0
162633259,9483,4377,null,0,0
162633278,9587,4490,null,0,0
162633316,9598,4401,null,0,0
162633335,9640,4469,null,0,0
162633355,1929,500,null,0,0
162633374,8567,3827,null,0,0
162633395,8567,3827,null,0,0
162633433,8613,3829,null,0,0
162633452,8455,3752,null,0,0
162633472,9547,4418,null,0,0
162633491,9517,4344,null,0,0
162633512,9506,4409,null,0,0
162633550,9556,4418,null,0,0
162633569,10258,4840,null,0,0
162633590,9497,4378,null,0,0
162633609,9602,4439,null,0,0
162633629,9561,4389,null,0,0
162633667,9485,4365,null,0,0
162633686,9562,4421,null,0,0
162633705,9491,4345,null,0,0
162633726,9475,4378,null,0,0
162633744,9872,4592,null,0,0
162633783,9847,4551,null,0,0
162633804,9976,4652,null,0,0
162633822,10147,4774,null,0,0
162633843,10202,4756,null,0,0
162633862,10262,4856,null,0,0
162633899,10348,4865,null,0,0
162633920,10310,4834,null,0,0
162633939,10340,4914,null,0,0
162633964,10212,4794,null,0,0
162634024,10192,4823,null,0,0
162634043,10282,4891,null,0,0
162634064,10235,4859,null,0,0
162634083,10207,4754,null,0,0
162634122,10208,4820,null,0,0
162634141,10280,4886,null,0,0
162634161,10311,4925,null,0,0
162634180,10277,4818,null,0,0
162634201,10198,4761,null,0,0
162634239,10258,4924,null,0,0
162634258,10301,4870,null,0,0
162634279,10210,4855,null,0,0
