time,ir,red,green,spo2,hr,temp
13:44:44:703,65831,63522,5785,0,0,0
13:44:44:726,65854,63506,5835,0,0,0
13:44:44:749,65826,63503,5864,0,0,0
13:44:44:772,65712,63472,5891,0,0,0
13:44:44:794,65569,63402,5912,0,0,0
13:44:44:817,65473,63355,5920,0,0,0
13:44:44:840,65481,63365,5970,0,0,0
13:44:44:862,65513,63360,5986,0,0,0
13:44:44:885,65580,63388,6014,0,0,0
13:44:44:908,65652,63401,6036,0,0,0
13:44:44:931,65667,63395,6066,0,0,0
13:44:44:953,65724,63376,6083,0,0,0
13:44:44:976,65779,63426,6149,8,0,32.3
